"","REGION","PROVINCIA","COMUNA","REGION_15R","PROVINCIA_15R","COMUNA_15R"
"1",1,11,1101,1,11,1101
"1333",1,11,1107,1,11,1107
"2248",1,14,1401,1,14,1401
"2478",1,14,1402,1,14,1402
"2512",1,14,1403,1,14,1403
"2574",1,14,1404,1,14,1404
"2680",1,14,1405,1,14,1405
"2797",2,21,2101,2,21,2101
"6011",2,21,2102,2,21,2102
"6155",2,21,2103,2,21,2103
"6170",2,21,2104,2,21,2104
"6367",2,22,2201,2,22,2201
"8188",2,22,2202,2,22,2202
"8197",2,22,2203,2,22,2203
"8366",2,23,2301,2,23,2301
"8725",2,23,2302,2,23,2302
"8848",3,31,3101,3,31,3101
"10781",3,31,3102,3,31,3102
"11190",3,31,3103,3,31,3103
"11410",3,32,3201,3,32,3201
"11715",3,32,3202,3,32,3202
"12090",3,33,3301,3,33,3301
"12889",3,33,3302,3,33,3302
"12995",3,33,3303,3,33,3303
"13201",3,33,3304,3,33,3304
"13428",4,41,4101,4,41,4101
"15902",4,41,4102,4,41,4102
"18926",4,41,4103,4,41,4103
"19187",4,41,4104,4,41,4104
"19302",4,41,4105,4,41,4105
"19352",4,41,4106,4,41,4106
"19738",4,42,4201,4,42,4201
"20205",4,42,4202,4,42,4202
"20404",4,42,4203,4,42,4203
"20925",4,42,4204,4,42,4204
"21220",4,43,4301,4,43,4301
"22801",4,43,4302,4,43,4302
"23085",4,43,4303,4,43,4303
"23647",4,43,4304,4,43,4304
"23866",4,43,4305,4,43,4305
"24032",5,51,5101,5,51,5101
"27242",5,51,5102,5,51,5102
"27548",5,51,5103,5,51,5103
"28009",5,51,5104,5,51,5104
"28013",5,51,5105,5,51,5105
"28356",5,51,5107,5,51,5107
"28904",5,51,5109,5,51,5109
"32475",5,52,5201,5,52,5201
"32531",5,53,5301,5,53,5301
"33330",5,53,5302,5,53,5302
"33497",5,53,5303,5,53,5303
"33618",5,53,5304,5,53,5304
"33858",5,54,5401,5,54,5401
"34349",5,54,5402,5,54,5402
"34613",5,54,5403,5,54,5403
"34733",5,54,5404,5,54,5404
"34934",5,54,5405,5,54,5405
"35127",5,55,5501,5,55,5501
"36165",5,55,5502,5,55,5502
"36635",5,55,5503,5,55,5503
"36772",5,55,5504,5,55,5504
"37000",5,55,5506,5,55,5506
"37274",5,56,5601,5,56,5601
"38417",5,56,5602,5,56,5602
"38786",5,56,5603,5,56,5603
"39342",5,56,5604,5,56,5604
"39825",5,56,5605,5,56,5605
"40208",5,56,5606,5,56,5606
"40382",5,57,5701,5,57,5701
"41281",5,57,5702,5,57,5702
"41432",5,57,5703,5,57,5703
"41698",5,57,5704,5,57,5704
"41767",5,57,5705,5,57,5705
"41922",5,57,5706,5,57,5706
"42060",5,58,5801,5,58,5801
"43817",5,58,5802,5,58,5802
"44252",5,58,5803,5,58,5803
"44524",5,58,5804,5,58,5804
"45836",6,61,6101,6,61,6101
"48341",6,61,6102,6,61,6102
"48479",6,61,6103,6,61,6103
"48561",6,61,6104,6,61,6104
"48772",6,61,6105,6,61,6105
"48969",6,61,6106,6,61,6106
"49295",6,61,6107,6,61,6107
"49529",6,61,6108,6,61,6108
"50057",6,61,6109,6,61,6109
"50180",6,61,6110,6,61,6110
"50418",6,61,6111,6,61,6111
"50540",6,61,6112,6,61,6112
"50689",6,61,6113,6,61,6113
"50864",6,61,6114,6,61,6114
"50975",6,61,6115,6,61,6115
"51590",6,61,6116,6,61,6116
"51852",6,61,6117,6,61,6117
"52308",6,62,6201,6,62,6201
"52711",6,62,6202,6,62,6202
"52783",6,62,6203,6,62,6203
"52893",6,62,6204,6,62,6204
"53013",6,62,6205,6,62,6205
"53087",6,62,6206,6,62,6206
"53214",6,63,6301,6,63,6301
"54055",6,63,6302,6,63,6302
"54216",6,63,6303,6,63,6303
"54589",6,63,6304,6,63,6304
"54702",6,63,6305,6,63,6305
"54891",6,63,6306,6,63,6306
"55022",6,63,6307,6,63,6307
"55191",6,63,6308,6,63,6308
