ïagno;rbd;dgv_rbd;nom_rbd;cod_depe;cod_depe2;rural_rbd;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;estado_estab;mat_si_1;mat_hom_1;mat_muj_1;mat_ens_1;mat_si_2;mat_hom_2;mat_muj_2;mat_ens_2;mat_hom_3;mat_muj_3;mat_ens_3;mat_si_4;mat_hom_4;mat_muj_4;mat_ens_4;mat_hom_5;mat_muj_5;mat_ens_5;mat_hom_6;mat_muj_6;mat_ens_6;mat_hom_7;mat_muj_7;mat_ens_7;mat_si_8;mat_hom_8;mat_muj_8;mat_ens_8;mat_hom_tot;mat_muj_tot;mat_si_tot;mat_total;cur_sim_01;cur_sim_02;cur_sim_03;cur_sim_04;cur_sim_05;cur_sim_06;cur_sim_07;cur_sim_08;cur_sim_tot;cur_comb_01;cur_comb_02;cur_comb_tot
2016;1;9;LICEO POLITECNICO ARICA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353;190;543;0;166;193;359;519;383;0;902;0;0;0;0;0;0;25;16;41;0;0;0
2016;2;7;PARVULARIO LAS ESPIGUITAS;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;105;96;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;96;0;201;8;0;0;0;0;0;0;0;8;0;0;0
2016;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;390;111;501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;390;111;0;501;0;0;38;0;0;0;0;0;38;0;0;0
2016;4;3;LICEO OCTAVIO PALMA PEREZ;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543;657;1200;0;0;0;0;0;0;0;0;0;0;543;657;0;1200;0;0;0;0;32;0;0;0;32;0;0;0
2016;5;1;JOVINA NARANJO FERNANDEZ;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;135;100;235;0;0;0;0;0;0;0;234;252;486;100;86;186;0;0;0;0;0;0;0;469;438;0;907;0;8;0;0;16;5;0;0;29;0;0;0
2016;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;613;444;1057;0;0;0;0;613;444;0;1057;0;0;0;0;0;0;35;0;35;0;0;0
2016;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;39;20;59;0;150;102;252;0;0;0;0;0;0;0;173;162;335;0;0;0;0;0;0;0;0;0;0;362;284;0;646;2;9;0;0;13;0;0;0;24;0;0;0
2016;9;4;ESCUELA REPUBLICA DE ISRAEL;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;98;103;201;0;669;596;1265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;767;699;0;1466;7;36;0;0;0;0;0;0;43;0;0;0
2016;10;8;ESCUELA REPUBLICA DE FRANCIA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;34;34;0;0;152;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186;0;186;0;8;0;0;0;0;0;0;8;1;0;1
2016;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;47;35;82;0;175;157;332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222;192;0;414;3;11;0;0;0;0;0;0;14;0;0;0
2016;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;28;25;53;0;137;119;256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;144;0;309;2;9;0;0;0;0;0;0;11;0;0;0
2016;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;22;20;42;0;140;97;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;117;0;279;2;8;0;0;0;0;0;0;10;0;0;0
2016;14;0;ESCUELA ROMULO J. PENA MATURANA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;14;13;27;0;91;66;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;79;0;184;2;8;0;0;0;0;0;0;10;0;0;0
