AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_SI_3;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_SI_8;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2017;1;9;LICEO POLITECNICO ARICA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309;180;489;0;142;171;313;451;351;0;802;0;0;0;0;0;0;22;15;37;0;0;0
2017;2;7;PARVULARIO LAS ESPIGUITAS;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;108;92;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;92;0;200;8;0;0;0;0;0;0;0;8;0;0;0
2017;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;373;131;504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373;131;0;504;0;0;38;0;0;0;0;0;38;0;0;0
2017;4;3;LICEO OCTAVIO PALMA PEREZ;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;506;581;1087;0;0;0;0;0;0;0;0;0;0;506;581;0;1087;0;0;0;0;30;0;0;0;30;0;0;0
2017;5;1;JOVINA NARANJO FERNANDEZ;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;146;95;241;0;0;0;0;0;0;0;0;0;250;268;518;130;86;216;0;0;0;0;0;0;0;526;449;0;975;0;8;0;0;16;5;0;0;29;0;0;0
2017;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;637;429;1066;0;0;0;0;637;429;0;1066;0;0;0;0;0;0;36;0;36;0;0;0
2017;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;28;28;56;0;144;107;251;0;0;0;0;0;0;0;0;0;192;150;342;0;0;0;0;0;0;0;0;0;0;364;285;0;649;2;8;0;0;12;0;0;0;22;0;0;0
2017;9;4;ESCUELA REPUBLICA DE ISRAEL;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;100;101;201;0;693;635;1328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;793;736;0;1529;7;36;0;0;0;0;0;0;43;0;0;0
2017;10;8;ESCUELA REPUBLICA DE FRANCIA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;1;24;25;0;0;133;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;157;0;158;0;7;0;0;0;0;0;0;7;1;0;1
2017;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;31;20;51;0;197;149;346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228;169;0;397;2;12;0;0;0;0;0;0;14;0;0;0
