agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect2m_rbd|nalu_mate2m_rbd|nalu_soc2m_rbd|prom_lect2m_rbd|prom_mate2m_rbd|prom_soc2m_rbd|dif_lect2m_rbd|dif_mate2m_rbd|dif_soc2m_rbd|difgru_lect2m_rbd|difgru_mate2m_rbd|difgru_soc2m_rbd|sigdif_lect2m_rbd|sigdif_mate2m_rbd|sigdif_soc2m_rbd|siggru_lect2m_rbd|siggru_mate2m_rbd|siggru_soc2m_rbd|marca_lect2m_rbd|marca_mate2m_rbd|marca_soc2m_rbd|marcadif_lect2m_rbd|marcadif_mate2m_rbd|marcadif_soc2m_rbd|palu_eda_ins_lect2m_rbd|palu_eda_ele_lect2m_rbd|palu_eda_ade_lect2m_rbd|palu_eda_ins_mate2m_rbd|palu_eda_ele_mate2m_rbd|palu_eda_ade_mate2m_rbd|noaplica
2017|20180916|final20180916v1|2m|1|9|LICEO POLITECNICO ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Urbano|75|81|87|206|198|210|16||4|-22|-26|-15|Positiva y significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||Con marca medición anterior: No reporte||88|8|4|90.099998|9.8999996|0|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|4|3|LICEO OCTAVIO PALMA PEREZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|217|219|245|260|274|238|-1|-6|-14|18|25|-1|No significativa|No significativa|Negativa y significativa|Positiva y significativa|Positiva y significativa|No significativa|||||||37.299999|39.599998|23|30.1|50.700001|19.200001|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|5|1|JOVINA NARANJO FERNANDEZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|123|125|129|269|314|254|30|38|1|6|31|-8|Positiva y significativa|Positiva y significativa|No significativa|Positiva y significativa|Positiva y significativa|Negativa y significativa|||||||33.299999|37.400002|29.299999|12|35.200001|52.799999|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|7|8|L. POLI. ANTONIO VARAS DE LA BARRA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Urbano|219|213|227|226|213|218|7|0|17|-2|-11|-7|No significativa|No significativa|Positiva y significativa|No significativa|Negativa y significativa|Negativa y significativa|||||||69.900002|23.299999|6.8000002|77.900002|20.700001|1.4|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|8|6|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|79|82|86|216|246|230|-4|21||-26|-3|-9|No significativa|Positiva y significativa|No significativa|Negativa y significativa|No significativa|Negativa y significativa||||||Con marca medición anterior: No reporte|78.5|17.700001|3.8|50|47.599998|2.4000001|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|15|9|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|24|27|29|230|224|207|||-24|-33|-59|-55|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa||||Con marca medición anterior: No reporte|Con marca medición anterior: No reporte||58.299999|41.700001|0|66.699997|33.299999|0|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|25|6|COLEGIO CENTENARIO DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|24|26|26|229|207|230|18|15||-13|-42|-9|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|No significativa||||||Con marca medición anterior: No reporte|66.699997|25|8.3000002|80.800003|19.200001|0|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|32|9|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Rural|28|25|30|231|233|240|8|56|23|3|9|15|No significativa|Positiva y significativa|Positiva y significativa|No significativa|No significativa|Positiva y significativa|||||||57.099998|32.099998|10.7|64|32|4|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|45|0|COLEGIO ITALIANO SANTA ANA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|55|55|56|272|290|285|9|16|23|9|7|23|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||32.700001|38.200001|29.1|21.799999|54.5|23.6|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|50|7|COLEGIO ADVENTISTA DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|41|43|43|276|298|252|-9|-11|-7|13|15|-10|No significativa|No significativa|No significativa|Positiva y significativa|Positiva y significativa|Negativa y significativa|||||||29.299999|36.599998|34.099998|23.299999|39.5|37.200001|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|52|3|LICEO DOMINGO SANTA MARIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio bajo|Urbano|349|351|374|270|277|272|10|-12|10|28|28|33|Positiva y significativa|Negativa y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||30.9|40.400002|28.700001|25.6|55.599998|18.799999|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|56|6|COLEGIO SAN MARCOS DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|66|74|74|274|302|281|-21|-21|-13|1|-5|4|Negativa y significativa|Negativa y significativa|Negativa y significativa|No significativa|Negativa y significativa|No significativa|||||||31.799999|34.799999|33.299999|6.8000002|63.5|29.700001|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|59|0|COLEGIO SAN JORGE|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular pagado|Particular pagado|Alto|Urbano|32|31|33|291|318|281|6|9|-12|7|-11|-11|No significativa|No significativa|No significativa|Positiva y significativa|Negativa y significativa|Negativa y significativa|||||||18.799999|40.599998|40.599998|6.5|35.5|58.099998|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|60|4|COLEGIO ALEMAN DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|71|78|78|269|304|260|41|-3|-1|6|21|-2|Positiva y significativa|No significativa|No significativa|Positiva y significativa|Positiva y significativa|No significativa|||||||35.200001|38|26.799999|15.4|39.700001|44.900002|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|67|1|ABRAHAM LINCOLN SCHOOL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|29|30|30|270|287|271|15|9|5|-3|-20|-6|No significativa|No significativa|No significativa|No significativa|Negativa y significativa|No significativa|||||||34.5|41.400002|24.1|16.700001|66.699997|16.700001|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|69|8|JUNIOR COLLEGE|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular pagado|Particular pagado|Alto|Urbano|38|40|41|303|342|303|4|-1|17|19|13|11|No significativa|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||10.5|26.299999|63.200001|2.5|5|92.5|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|72|8|LICEO  VALLE DE CODPA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15102|CAMARONES|ARICA|Municipal DAEM|Municipal|Medio|Rural|4|4|4|212|179|200|||||||No significativa|No significativa|No significativa|No significativa|No significativa|No significativa||||Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|78|7|LICEO GRANADEROS|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15201|PUTRE|PARINACOTA|Municipal DAEM|Municipal|Medio bajo|Rural|9|8|9|223|207|231|-12|5|37|-19|-42|-8|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|No significativa|||||||||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|97|3|INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio bajo|Urbano|71|78|80|229|211|221|-10|-2|1|-13|-38|-18|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||73.199997|21.1|5.5999999|76.900002|21.799999|1.3|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|103|1|ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio|Urbano|27|29|29|248|218|230|9|5|12|-15|-65|-32|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||51.900002|37|11.1|82.800003|10.3|6.9000001|Rbd y curso rinde Simce
2017|20180916|final20180916v1|2m|106|6|INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Administración delegada|Particular subvencionado|Medio bajo|Urbano|75|77|79|211|232|225|-6|-3|-2|-31|-17|-14|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||89.300003|9.3000002|1.3|59.700001|40.299999|0|Rbd y curso rinde Simce
