agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect8b_com|prom_mate8b_com|prom_nat8b_com|dif_lect8b_com|dif_mate8b_com|dif_nat8b_com|sigdif_lect8b_com|sigdif_mate8b_com|sigdif_nat8b_com
2017|20180916|final20180916v1|8b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|2|AISÉN|11201|AISÉN|1|COYHAIQUE|248|260|259|11|3|-4|Positiva y significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|6|SAN ANTONIO|5602|ALGARROBO|2|SAN ANTONIO|234|239|241|-1|-12|-16|No significativa|Negativa y significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13502|ALHUÉ|7|TALAGANTE|224|232|233|11|-3|-8|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|3|BIOBÍO|8314|ALTO BIOBÍO|2|BIOBÍO|210|205|223|3|5|5|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|3|REGION DE ATACAMA|3|HUASCO|3302|ALTO DEL CARMEN|2|HUASCO|232|212|249|6|-15|5|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|1|REGION DE TARAPACA|1|IQUIQUE|1107|ALTO HOSPICIO|1|IQUIQUE|238|252|248|4|3|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|10|REGION DE LOS LAGOS|2|CHILOÉ|10202|ANCUD|1|CHILOÉ|242|252|252|1|-4|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|4|REGION DE COQUIMBO|1|ELQUI|4103|ANDACOLLO|2|ELQUI|249|248|244|6|-7|-14|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|9|REGION DE LA ARAUCANIA|2|MALLECO|9201|ANGOL|3|MALLECO|249|264|258|-1|-2|-8|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|2|REGION DE ANTOFAGASTA|1|ANTOFAGASTA|2101|ANTOFAGASTA|1|ANTOFAGASTA|246|255|255|2|-2|-7|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|3|BIOBÍO|8302|ANTUCO|2|BIOBÍO|235|237|250|15|2|-5|Positiva y significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|12|REGION DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|12202|ANTÁRTICA|1|MAGALLANES|||||||||
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|2|ARAUCO|8202|ARAUCO|1|ARAUCO|248|260|253|5|5|0|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|1|ARICA|243|264|258|-5|-4|-11|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13402|BUIN|6|SANTIAGO SUR|240|258|259|4|6|0|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|4|ÑUBLE|8402|BULNES|4|ÑUBLE|243|243|253|11|-6|1|Positiva y significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|4|PETORCA|5402|CABILDO|1|QUILLOTA - PETORCA|238|252|247|7|4|-6|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|12|REGION DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|12201|CABO DE HORNOS|1|MAGALLANES|258|257|270|3|-4|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|3|BIOBÍO|8303|CABRERO|2|BIOBÍO|235|252|253|6|2|4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|2|REGION DE ANTOFAGASTA|2|EL LOA|2201|CALAMA|2|EL LOA|246|256|256|4|0|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10102|CALBUCO|2|LLANQUIHUE|234|244|249|-5|-1|-10|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|3|REGION DE ATACAMA|1|COPIAPÓ|3102|CALDERA|1|COPIAPÓ - CHAÑARAL|238|245|249|8|-1|1|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|5|QUILLOTA|5502|CALERA|1|QUILLOTA - PETORCA|242|255|250|-1|-5|-13|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13403|CALERA DE TANGO|6|SANTIAGO SUR|237|256|260|0|-8|-8|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|3|LOS ANDES|5302|CALLE LARGA|3|SAN FELIPE - LOS ANDES|233|250|250|1|1|-5|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15102|CAMARONES|1|ARICA|183|189|206|0|0|0|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|1|REGION DE TARAPACA|4|TAMARUGAL|1402|CAMIÑA|2|TAMARUGAL|263|261|251|31|15|17|Positiva y significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|4|REGION DE COQUIMBO|2|CHOAPA|4202|CANELA|1|CHOAPA|242|240|251|0|-4|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9102|CARAHUE|1|CAUTÍN NORTE|231|234|246|-13|-10|-9|Negativa y significativa|Negativa y significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|6|SAN ANTONIO|5603|CARTAGENA|2|SAN ANTONIO|238|249|247|5|0|2|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|1|VALPARAÍSO|5102|CASABLANCA|4|VALPARAÍSO|240|251|254|-1|-3|-6|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|10|REGION DE LOS LAGOS|2|CHILOÉ|10201|CASTRO|1|CHILOÉ|246|254|256|2|-7|-9|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|7|SAN FELIPE DE ACONCAGUA|5702|CATEMU|3|SAN FELIPE - LOS ANDES|231|250|250|-5|-2|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|7|REGION DEL MAULE|2|CAUQUENES|7201|CAUQUENES|1|CAUQUENES|244|258|257|7|4|-2|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|2|ARAUCO|8203|CAÑETE|1|ARAUCO|243|249|256|-7|-9|-2|No significativa|Negativa y significativa|No significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13102|CERRILLOS|5|SANTIAGO PONIENTE|240|257|252|-3|-4|-10|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13103|CERRO NAVIA|5|SANTIAGO PONIENTE|229|244|244|-1|-4|-9|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|10|REGION DE LOS LAGOS|4|PALENA|10401|CHAITÉN|4|PALENA|224|234|246|-22|-18|-13|Negativa y significativa|Negativa y significativa|No significativa
2017|20180916|final20180916v1|8b|7|REGION DEL MAULE|2|CAUQUENES|7202|CHANCO|1|CAUQUENES|225|230|242|7|-7|2|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|3|REGION DE ATACAMA|2|CHAÑARAL|3201|CHAÑARAL|1|COPIAPÓ - CHAÑARAL|230|220|230|-5|-9|-8|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8103|CHIGUAYANTE|3|CONCEPCIÓN|248|269|264|2|-6|-8|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|4|GENERAL CARRERA|11401|CHILE CHICO|1|COYHAIQUE|221|233|238|-22|-31|-36|Negativa y significativa|Negativa y significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|4|ÑUBLE|8401|CHILLÁN|4|ÑUBLE|248|263|262|3|-5|-7|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|4|ÑUBLE|8406|CHILLÁN VIEJO|4|ÑUBLE|236|252|249|-1|3|-6|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|3|COLCHAGUA|6303|CHIMBARONGO|3|COLCHAGUA|243|253|255|3|-4|-6|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9121|CHOLCHOL|1|CAUTÍN NORTE|224|222|237|-2|-7|5|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|10|REGION DE LOS LAGOS|2|CHILOÉ|10203|CHONCHI|1|CHILOÉ|251|256|251|-5|0|-5|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|3|COLCHAGUA|6302|CHÉPICA|3|COLCHAGUA|242|244|258|0|-16|-8|No significativa|Negativa y significativa|No significativa
2017|20180916|final20180916v1|8b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|2|AISÉN|11202|CISNES|1|COYHAIQUE|243|252|257|25|12|11|Positiva y significativa|Positiva y significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|4|ÑUBLE|8403|COBQUECURA|4|ÑUBLE|228|241|244|4|24|6|No significativa|Positiva y significativa|No significativa
2017|20180916|final20180916v1|8b|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10103|COCHAMÓ|2|LLANQUIHUE|231|256|247|9|23|-4|No significativa|Positiva y significativa|No significativa
2017|20180916|final20180916v1|8b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|3|CAPITAN PRAT|11301|COCHRANE|1|COYHAIQUE|224|245|235|-3|1|-9|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|1|CACHAPOAL|6102|CODEGUA|1|CACHAPOAL|223|223|229|-7|-3|-6|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|4|ÑUBLE|8404|COELEMU|4|ÑUBLE|248|254|261|0|2|-12|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|1|COYHAIQUE|11101|COIHAIQUE|1|COYHAIQUE|242|263|256|1|-4|-11|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|4|ÑUBLE|8405|COIHUECO|4|ÑUBLE|234|242|249|2|-5|-3|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|1|CACHAPOAL|6103|COINCO|1|CACHAPOAL|228|230|235|-33|-45|-26|Negativa y significativa|Negativa y significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|7|REGION DEL MAULE|4|LINARES|7402|COLBÚN|3|LINARES|225|231|242|-16|-7|-10|Negativa y significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|1|REGION DE TARAPACA|4|TAMARUGAL|1403|COLCHANE|2|TAMARUGAL|201|214|220|10|0|0|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|3|CHACABUCO|13301|COLINA|3|SANTIAGO NORTE|255|283|273|1|6|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|9|REGION DE LA ARAUCANIA|2|MALLECO|9202|COLLIPULLI|3|MALLECO|235|234|247|-6|-11|-7|No significativa|Negativa y significativa|No significativa
2017|20180916|final20180916v1|8b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|1|CACHAPOAL|6104|COLTAUCO|1|CACHAPOAL|240|250|254|0|-4|0|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|4|REGION DE COQUIMBO|3|LIMARÍ|4302|COMBARBALÁ|3|LIMARÍ|239|234|246|-4|-10|-13|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8101|CONCEPCIÓN|3|CONCEPCIÓN|250|273|267|3|-5|-10|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13104|CONCHALÍ|3|SANTIAGO NORTE|231|243|244|6|-3|-5|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|1|VALPARAÍSO|5103|CONCÓN|4|VALPARAÍSO|257|277|279|4|1|3|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|7|REGION DEL MAULE|1|TALCA|7102|CONSTITUCIÓN|4|TALCA|246|272|270|-11|-2|-6|Negativa y significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|2|ARAUCO|8204|CONTULMO|1|ARAUCO|233|237|239|-16|-9|-17|Negativa y significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|3|REGION DE ATACAMA|1|COPIAPÓ|3101|COPIAPÓ|1|COPIAPÓ - CHAÑARAL|241|251|254|4|-5|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|4|REGION DE COQUIMBO|1|ELQUI|4102|COQUIMBO|2|ELQUI|239|254|253|1|0|-6|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8102|CORONEL|3|CONCEPCIÓN|238|249|249|2|-6|-7|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|14|REGION DE LOS RIOS|1|VALDIVIA|14102|CORRAL|2|VALDIVIA|230|230|240|5|0|5|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9103|CUNCO|1|CAUTÍN NORTE|235|238|246|-4|0|-3|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|9|REGION DE LA ARAUCANIA|2|MALLECO|9203|CURACAUTÍN|3|MALLECO|226|228|240|4|-3|2|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13503|CURACAVÍ|7|TALAGANTE|239|252|253|2|-6|-7|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|10|REGION DE LOS LAGOS|2|CHILOÉ|10204|CURACO DE VÉLEZ|1|CHILOÉ|236|228|250|6|-19|11|No significativa|Negativa y significativa|No significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|2|ARAUCO|8205|CURANILAHUE|1|ARAUCO|232|250|239|-3|-6|-15|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9104|CURARREHUE|2|CAUTÍN SUR|240|226|249|0|-7|6|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|7|REGION DEL MAULE|1|TALCA|7103|CUREPTO|4|TALCA|260|267|261|6|10|1|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|7|REGION DEL MAULE|3|CURICÓ|7301|CURICÓ|2|CURICÓ|254|270|270|1|-3|-8|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|10|REGION DE LOS LAGOS|2|CHILOÉ|10205|DALCAHUE|1|CHILOÉ|244|250|254|8|-2|-2|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|3|REGION DE ATACAMA|2|CHAÑARAL|3202|DIEGO DE ALMAGRO|1|COPIAPÓ - CHAÑARAL|234|244|246|-1|-4|-16|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|1|CACHAPOAL|6105|DOÑIHUE|1|CACHAPOAL|242|262|263|1|1|2|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13105|EL BOSQUE|6|SANTIAGO SUR|235|252|250|0|-5|-9|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|4|ÑUBLE|8407|EL CARMEN|4|ÑUBLE|232|240|248|-10|-3|-4|Negativa y significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|6|TALAGANTE|13602|EL MONTE|7|TALAGANTE|230|242|243|2|-3|-8|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|6|SAN ANTONIO|5604|EL QUISCO|2|SAN ANTONIO|240|243|248|19|10|5|Positiva y significativa|Positiva y significativa|No significativa
2017|20180916|final20180916v1|8b|5|REGION DE VALPARAISO|6|SAN ANTONIO|5605|EL TABO|2|SAN ANTONIO|229|227|242|8|-4|-12|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|7|REGION DEL MAULE|1|TALCA|7104|EMPEDRADO|4|TALCA|213|236|236|-17|-24|-18|Negativa y significativa|Negativa y significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|9|REGION DE LA ARAUCANIA|2|MALLECO|9204|ERCILLA|3|MALLECO|232|220|242|8|2|0|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|8b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13106|ESTACIÓN CENTRAL|5|SANTIAGO PONIENTE|233|251|252|-3|-8|-6|No significativa|Negativa y significativa|Negativa y significativa
2017|20180916|final20180916v1|8b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8104|FLORIDA|3|CONCEPCIÓN|227|235|241|6|0|-1|No significativa|No significativa|No significativa
