agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|cod_deprov|nom_deprov|prom_lect8b_deprov|prom_mate8b_deprov|prom_nat8b_deprov|dif_lect8b_deprov|dif_mate8b_deprov|dif_nat8b_deprov|sigdif_lect8b_deprov|sigdif_mate8b_deprov|sigdif_nat8b_deprov
2017|final20180916v1|20180916|8b|1|REGIÓN DE TARAPACÁ|11|IQUIQUE|241|254|252|1|-3|-8|No significativa|No significativa|Negativa y significativa
2017|final20180916v1|20180916|8b|1|REGIÓN DE TARAPACÁ|14|TAMARUGAL|230|234|236|8|1|-2|No significativa|No significativa|No significativa
2017|final20180916v1|20180916|8b|2|REGIÓN DE ANTOFAGASTA|21|ANTOFAGASTA|243|252|252|4|-3|-7|No significativa|No significativa|Negativa y significativa
2017|final20180916v1|20180916|8b|2|REGIÓN DE ANTOFAGASTA|22|EL LOA|246|256|256|3|0|-4|No significativa|No significativa|No significativa
2017|final20180916v1|20180916|8b|3|REGIÓN DE ATACAMA|31|COPIAPÓ - CHAÑARAL|238|246|250|3|-4|-4|No significativa|No significativa|No significativa
2017|final20180916v1|20180916|8b|3|REGIÓN DE ATACAMA|32|HUASCO|243|245|249|1|-4|-5|No significativa|No significativa|No significativa
2017|final20180916v1|20180916|8b|4|REGIÓN DE COQUIMBO|41|ELQUI|246|260|260|4|1|-4|No significativa|No significativa|No significativa
2017|final20180916v1|20180916|8b|4|REGIÓN DE COQUIMBO|42|LIMARÍ|244|251|257|0|-2|-2|No significativa|No significativa|No significativa
2017|final20180916v1|20180916|8b|4|REGIÓN DE COQUIMBO|43|CHOAPA|239|242|251|4|-4|-5|No significativa|No significativa|No significativa
2017|final20180916v1|20180916|8b|5|REGIÓN DE VALPARAÍSO|51|QUILLOTA - PETORCA|240|253|252|0|-4|-10|No significativa|No significativa|Negativa y significativa
2017|final20180916v1|20180916|8b|5|REGIÓN DE VALPARAÍSO|52|SAN FELIPE - LOS ANDES|243|254|257|1|-3|-6|No significativa|No significativa|No significativa
