agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect8b_rbd|nalu_mate8b_rbd|nalu_nat8b_rbd|prom_lect8b_rbd|prom_mate8b_rbd|prom_nat8b_rbd|dif_lect8b_rbd|dif_mate8b_rbd|dif_nat8b_rbd|difgru_lect8b_rbd|difgru_mate8b_rbd|difgru_nat8b_rbd|sigdif_lect8b_rbd|sigdif_mate8b_rbd|sigdif_nat8b_rbd|siggru_lect8b_rbd|siggru_mate8b_rbd|siggru_nat8b_rbd|marca_lect8b_rbd|marca_mate8b_rbd|marca_nat8b_rbd|marcadif_lect8b_rbd|marcadif_mate8b_rbd|marcadif_nat8b_rbd|noaplica
2017|20180916|final20180916v1|8b|5|1|JOVINA NARANJO FERNANDEZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|34|34|34|256|275|270|-16|-24|-2|11|14|12|Negativa y significativa|Negativa y significativa|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|8b|8|6|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|31|30|31|215|238|228|9|9|6|-16|-3|-15|No significativa|No significativa|No significativa|Negativa y significativa|No significativa|Negativa y significativa|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|8b|9|4|ESCUELA REPUBLICA DE ISRAEL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|121|124|121|241|251|252|-1|-9|-11|-4|-10|-6|No significativa|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|8b|10|8|ESCUELA REPUBLICA DE FRANCIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|13|13|13|212|225|236|-33|-8|-25|-19|-16|-7|Negativa y significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|No significativa|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|8b|11|6|ESC. GRAL. PEDRO LAGOS MARCHANT|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|29|29|30|212|220|220|-15|-15|-15|-19|-21|-23|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|8b|12|4|ESCUELA GRAL JOSE MIGUEL CARRERA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|20|23|20|253|234|237|-16|-14|-13|22|-7|-6|No significativa|No significativa|No significativa|Positiva y significativa|No significativa|No significativa|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|8b|13|2|ESCUELA MANUEL RODRIGUEZ ERDOYZA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|18|19|18|220|231|242|-15|-11|-26|-11|-10|-1|No significativa|No significativa|Negativa y significativa|Negativa y significativa|No significativa|No significativa|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|8b|14|0|ESCUELA ROMULO J. PENA MATURANA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|23|24|23|212|234|251|-22|2|12|-19|-7|8|Negativa y significativa|No significativa|No significativa|Negativa y significativa|No significativa|No significativa|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|8b|15|9|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|20|23|20|214|233|239|16|17|14|-17|-8|-4|No significativa|No significativa|No significativa|Negativa y significativa|No significativa|No significativa|||||||Rbd y curso rinde Simce
2017|20180916|final20180916v1|8b|16|7|ESCUELA REGIMIENTO RANCAGUA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|18|16|18|222|236|232|-4|13|-11|-9|-5|-11|No significativa|No significativa|No significativa|No significativa|No significativa|No significativa|||||||Rbd y curso rinde Simce
