
=====================================================================================================================================================
                                                                                     Model 1
(Conviviality)  Model 2
(Identity)   Model 3
(Threat)   
-----------------------------------------------------------------------------------------------------------------------------------------------------
educTechnical                                                                           -0.14 (0.06) *          -0.15 (0.06) *        0.22 (0.11) *  
educHigh school                                                                         -0.22 (0.05) ***        -0.31 (0.06) ***      0.47 (0.10) ***
educPrimary                                                                             -0.20 (0.07) **         -0.37 (0.07) ***      0.52 (0.12) ***
ola                                                                                      0.00 (0.01)             0.02 (0.01)         -0.08 (0.03) ** 
quintil1Q4                                                                              -0.11 (0.06)            -0.17 (0.06) **       0.19 (0.11)    
quintil1Q3                                                                              -0.09 (0.06)            -0.16 (0.06) **       0.10 (0.11)    
quintil1Q2                                                                              -0.11 (0.06)            -0.12 (0.06)          0.16 (0.12)    
quintil1Q1                                                                              -0.11 (0.06)            -0.13 (0.07) *        0.13 (0.12)    
know_inm_t1t4Stable, know                                                                0.07 (0.07)             0.08 (0.07)         -0.11 (0.13)    
know_inm_t1t4Now know                                                                    0.05 (0.06)             0.15 (0.07) *       -0.14 (0.12)    
know_inm_t1t4No longer know                                                              0.13 (0.05) *           0.07 (0.06)         -0.25 (0.11) *  
frien_inm_t1t4Stable, have friends                                                       0.23 (0.08) **          0.17 (0.08) *       -0.25 (0.15)    
frien_inm_t1t4Now have friends                                                          -0.11 (0.07)            -0.10 (0.07)         -0.14 (0.13)    
frien_inm_t1t4No longer have friends                                                     0.18 (0.06) **          0.05 (0.07)          0.01 (0.11)    
dif_inm                                                                                 -0.02 (0.01)            -0.01 (0.01)         -0.02 (0.02)    
educTechnical:ola                                                                       -0.00 (0.02)            -0.02 (0.02)          0.06 (0.03)    
educHigh school:ola                                                                     -0.01 (0.01)            -0.03 (0.01) *        0.06 (0.02) ** 
educPrimary:ola                                                                         -0.06 (0.02) ***        -0.06 (0.02) ***      0.10 (0.03) ***
ola:quintil1Q4                                                                           0.01 (0.02)             0.02 (0.02)         -0.04 (0.03)    
ola:quintil1Q3                                                                           0.01 (0.02)             0.03 (0.02) *       -0.02 (0.03)    
ola:quintil1Q2                                                                           0.01 (0.02)             0.02 (0.02)         -0.04 (0.03)    
ola:quintil1Q1                                                                           0.00 (0.02)             0.02 (0.02)         -0.03 (0.03)    
ola:know_inm_t1t4Stable, know                                                           -0.00 (0.02)             0.00 (0.02)          0.01 (0.03)    
ola:know_inm_t1t4Now know                                                                0.01 (0.02)            -0.02 (0.02)          0.03 (0.03)    
ola:know_inm_t1t4No longer know                                                         -0.03 (0.01) *          -0.01 (0.01)          0.05 (0.03) *  
ola:frien_inm_t1t4Stable, have friends                                                   0.01 (0.02)            -0.00 (0.02)         -0.01 (0.04)    
ola:frien_inm_t1t4Now have friends                                                       0.06 (0.02) ***         0.03 (0.02)         -0.00 (0.03)    
ola:frien_inm_t1t4No longer have friends                                                -0.03 (0.02)            -0.03 (0.02)          0.01 (0.03)    
